query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P54	What is the smallest team?	['Evagoras Paphos', 'Czech Republic', 'Albania', 'Ayia Napa', 'Hungary']	None	[[]]	0	0
bool	P54	Is UEFA Euro 2016 part of Omonia Aradippou?	['FALSE']	[[1], [2], [7]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland']], [[6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[9, 'UEFA Euro 2016 team Ukraine']]]	1	1
count	P54	How many teams has UEFA Euro 2016 played for?	[6]	[[1], [3], [5], [6], [7], [9]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland']], [[6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[9, 'UEFA Euro 2016 team Ukraine']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [9, 'UEFA Euro 2016 team Ukraine']], [[3, 'UEFA Euro 2016 team Albania'], [6, 'UEFA Euro 2016 team Hungary']], [[3, 'UEFA Euro 2016 team Albania'], [9, 'UEFA Euro 2016 team Ukraine']], [[5, 'UEFA Euro 2016 team Switzerland'], [1, 'UEFA Euro 2016 team Czech Republic']], [[5, 'UEFA Euro 2016 team Switzerland'], [3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[5, 'UEFA Euro 2016 team Switzerland'], [9, 'UEFA Euro 2016 team Ukraine']], [[6, 'UEFA Euro 2016 team Hungary'], [9, 'UEFA Euro 2016 team Ukraine']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [2, 'UEFA Euro 2016 team Italy']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [9, 'UEFA Euro 2016 team Ukraine']]]	1	1
set	P54	Who plays for Switzerland?	['UEFA Euro 2016']	[[5]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[5, 'UEFA Euro 2016 team Switzerland']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[2, 'UEFA Euro 2016 team Italy'], [1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[5, 'UEFA Euro 2016 team Switzerland'], [1, 'UEFA Euro 2016 team Czech Republic']], [[5, 'UEFA Euro 2016 team Switzerland'], [3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [5, 'UEFA Euro 2016 team Switzerland']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [6, 'UEFA Euro 2016 team Hungary']]]	1	1
count	P54	How many teams has 2013 FIA World Endurance Championship played for?	[3]	[[1], [2], [4]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']]]	1	1
set	P54	Who is a member of G-Drive Racing?	[]	None	[[]]	0	0
count	P54	How many people play for OAK Racing?	[1]	None	[[]]	0	0
bool	P54	Is 2013 FIA World Endurance Championship a member of FC Metalurh Donetsk?	['FALSE']	[[1], [2], [5]]	[[], [[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']]]	1	1
bool	P54	Is 2013 FIA World Endurance Championship part of Cofidis?	['FALSE']	[[4], [6], [7]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[8, '2013 FIA World Endurance Championship team OAK Racing']], [[9, '2014 Tour of Turkey team Cofidis']], [[9, '2014 Tour of Turkey team Cofidis'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']]]	1	1
bool	P54	Does National Hockey League play for Detroit Red Wings?	['TRUE']	[[4]]	[[[0, 'National Hockey League team Edmonton Oilers']], [[1, 'National Hockey League team Montreal Canadiens']], [[2, 'National Hockey League team New York Rangers']], [[4, 'National Hockey League team Detroit Red Wings']]]	1	1
